Time,Temp,Dew Point,Humidity,Pressure,Visibility,Wind Dir,Wind Speed,Gust Speed,Precip,Events,Conditions
6/15/16 0:51,66.9 °F,46.9 °F,0.49,29.98 in,10.0 mi,WNW,3.5 mph,-,N/A,,Clear
6/15/16 1:51,66.9 °F,46.0 °F,0.47,29.98 in,10.0 mi,Calm,Calm,-,N/A,,Clear
6/15/16 2:51,66.0 °F,46.0 °F,0.48,29.96 in,10.0 mi,Calm,Calm,-,N/A,,Clear
6/15/16 3:51,66.9 °F,45.0 °F,0.45,29.96 in,10.0 mi,WNW,5.8 mph,-,N/A,,Clear
6/15/16 4:51,64.0 °F,46.0 °F,0.52,29.96 in,10.0 mi,WNW,3.5 mph,-,N/A,,Clear
6/15/16 5:51,62.1 °F,48.0 °F,0.6,29.97 in,10.0 mi,Calm,Calm,-,N/A,,Clear
6/15/16 6:51,64.9 °F,48.0 °F,0.54,29.98 in,10.0 mi,WNW,4.6 mph,-,N/A,,Clear
6/15/16 7:51,66.9 °F,46.9 °F,0.49,29.99 in,10.0 mi,Variable,4.6 mph,-,N/A,,Clear
6/15/16 8:51,69.1 °F,48.9 °F,0.49,29.99 in,10.0 mi,Calm,Calm,-,N/A,,Clear
6/15/16 9:51,73.0 °F,46.9 °F,0.39,29.98 in,10.0 mi,Calm,Calm,-,N/A,,Clear
6/15/16 10:51,75.9 °F,44.1 °F,0.32,29.97 in,10.0 mi,Variable,3.5 mph,-,N/A,,Clear
6/15/16 11:51,79.0 °F,41.0 °F,0.26,29.95 in,10.0 mi,Calm,Calm,-,N/A,,Clear
6/15/16 12:51,82.0 °F,44.1 °F,0.26,29.93 in,10.0 mi,Variable,3.5 mph,-,N/A,,Clear
6/15/16 13:51,84.0 °F,43.0 °F,0.24,29.90 in,10.0 mi,Calm,Calm,-,N/A,,Clear
6/15/16 14:51,82.9 °F,46.0 °F,0.27,29.88 in,10.0 mi,Variable,3.5 mph,-,N/A,,Clear
6/15/16 15:51,82.9 °F,43.0 °F,0.24,29.86 in,10.0 mi,Calm,Calm,-,N/A,,Clear
6/15/16 16:51,81.0 °F,52.0 °F,0.36,29.85 in,10.0 mi,Variable,3.5 mph,-,N/A,,Clear
6/15/16 17:51,79.0 °F,54.0 °F,0.42,29.84 in,10.0 mi,North,-,-,N/A,,Clear
6/15/16 18:51,77.0 °F,54.0 °F,0.45,29.83 in,10.0 mi,Variable,3.5 mph,-,N/A,,Clear
6/15/16 19:51,77.0 °F,55.9 °F,0.48,29.83 in,9.0 mi,Variable,3.5 mph,-,N/A,,Clear
6/15/16 20:51,75.9 °F,55.9 °F,0.5,29.83 in,10.0 mi,South,3.5 mph,-,N/A,,Clear
6/15/16 21:51,75.0 °F,57.0 °F,0.53,29.85 in,10.0 mi,North,-,-,N/A,,Scattered Clouds
6/15/16 22:51,75.9 °F,54.0 °F,0.46,29.85 in,10.0 mi,SW,5.8 mph,-,N/A,,Mostly Cloudy
6/15/16 23:51,75.0 °F,57.0 °F,0.53,29.85 in,10.0 mi,WSW,3.5 mph,-,N/A,,Partly Cloudy
